"","outofbed","min","q1","median","mean","ninefive","max"
"1","0",0.000105263157894737,0.04,0.08,0.120176997883371,0.360186813,1
"2","1",0.000105263157894737,0.03,0.05,0.0690643898668734,0.2052,0.375
